#n, mi, 26516
#n, jan, 23669
#n, ni, 20656
#n, tawa, 17665
#n, sina, 15307
#n, ona, 15107
#n, tenpo, 10069
#n, kama, 9989
#n, toki, 9856
#n, pona, 9570
#n, mute, 9510
#n, wile, 8121
#n, sona, 7222
#n, tomo, 6934
#n, ken, 6646
#n, pali, 5387
#n, lukin, 5264
#n, pilin, 5224
#n, tan, 5103
#n, ma, 5069
#n, lili, 4793
#n, jo, 4771
#n, pana, 4132
#n, ike, 4093
#n, telo, 3688
#n, kepeken, 3623
#n, suli, 3518
#n, pini, 3414
#n, ale, 3360
#n, sama, 3073
#n, suno, 3037
#n, moku, 3036
#n, ijo, 2958
#n, anu, 2823
#n, lawa, 2804
#n, ilo, 2567
#n, taso, 2518
#n, nasin, 2484
#n, wawa, 2450
#n, musi, 2389
#n, meli, 2227
#n, awen, 2227
#n, sitelen, 2192
#n, sewi, 2157
#n, sin, 2111
#n, weka, 2099
#n, wan, 2076
#n, soweli, 2027
#n, tu, 1992
#n, ante, 1933
#n, mani, 1828
#n, lipu, 1810
#n, mije, 1795
#n, nasa, 1729
#n, mama, 1711
#n, pakala, 1686
#n, poka, 1670
#n, sike, 1649
#n, kon, 1615
#n, luka, 1530
#n, en, 1461
#n, nimi, 1441
#n, len, 1420
#n, open, 1354
#n, kalama, 1315
#n, lape, 1306
#n, utala, 1231
#n, olin, 1221
#n, kulupu, 1218
#n, kasi, 1216
#n, seli, 1206
#n, moli, 1184
#n, linja, 1129
#n, sijelo, 1107
#n, insa, 1103
#n, esun, 1085
#n, pimeja, 1052
#n, anpa, 1027
#n, poki, 1002
#n, kute, 990
#n, supa, 966
#n, suwi, 896
#n, ali, 882
#n, noka, 851
#n, uta, 755
#n, kiwen, 729
#n, lete, 714
#n, sinpin, 669
#n, kili, 632
#n, lupa, 626
#n, akesi, 624
#n, kule, 575
#n, jaki, 566
#n, waso, 563
#n, ko, 543
#n, pan, 533
#n, loje, 497
#n, mun, 484
#n, walo, 475
#n, nena, 447
#n, monsi, 445
#n, alasa, 425
#n, palisa, 415
#n, pipi, 410
#n, selo, 391
#n, jelo, 336
#n, laso, 334
#n, kala, 290
#n, mu, 210
#n, unpa, 194
#n, oko, 148
#n, namako, 80
#n, pu, 25
