#n, li, 100188
#n, e, 75623
#n, mi, 56841
#n, jan, 48096
#n, ni, 46431
#n, tawa, 33254
#n, pi, 33051
#n, toki, 32418
#n, la, 31743
#n, pona, 28934
#n, lon, 28782
#n, ala, 27830
#n, sina, 27396
#n, ona, 27048
#n, mute, 21368
#n, tenpo, 19991
#n, kama, 18816
#n, sona, 16710
#n, wile, 15940
#n, ken, 13215
#n, ma, 12570
#n, o, 12541
#n, seme, 11958
#n, pilin, 11555
#n, tomo, 11494
#n, lili, 11344
#n, tan, 11283
#n, pali, 10526
#n, jo, 9730
#n, lukin, 9662
#n, ike, 9187
#n, a, 8963
#n, taso, 8751
#n, kepeken, 8367
#n, nimi, 7947
#n, suli, 7857
#n, pana, 7652
#n, telo, 6530
#n, sama, 6416
#n, suno, 6311
#n, pini, 6221
#n, sewi, 6107
#n, ijo, 6064
#n, sitelen, 5908
#n, lawa, 5731
#n, musi, 5724
#n, nasin, 5687
#n, tu, 5506
#n, moku, 5476
#n, ante, 5433
#n, ale, 5312
#n, wan, 5203
#n, anu, 4606
#n, ilo, 4582
#n, lipu, 4541
#n, en, 4535
#n, soweli, 4467
#n, kin, 4452
#n, sin, 4391
#n, meli, 4251
#n, kulupu, 4245
#n, wawa, 4130
#n, luka, 3847
#n, awen, 3761
#n, weka, 3702
#n, ali, 3518
#n, nanpa, 3516
#n, nasa, 3424
#n, sike, 3403
#n, pakala, 3351
#n, mama, 3245
#n, poka, 3083
#n, kalama, 3075
#n, kon, 3044
#n, mije, 3033
#n, moli, 2874
#n, kasi, 2852
#n, mani, 2763
#n, utala, 2619
#n, olin, 2482
#n, lape, 2409
#n, insa, 2213
#n, pimeja, 2185
#n, seli, 2179
#n, len, 2153
#n, anpa, 2063
#n, open, 1975
#n, linja, 1861
#n, kute, 1849
#n, sijelo, 1839
#n, kiwen, 1753
#n, poki, 1725
#n, suwi, 1575
#n, supa, 1503
#n, esun, 1469
#n, waso, 1421
#n, noka, 1317
#n, lete, 1305
#n, akesi, 1280
#n, uta, 1240
#n, mun, 1198
#n, sinpin, 1178
#n, kili, 1178
#n, ko, 1093
#n, kule, 1089
#n, loje, 1059
#n, lupa, 1055
#n, pipi, 1027
#n, palisa, 1019
#n, walo, 1006
#n, jaki, 930
#n, nena, 909
#n, monsi, 905
#n, pan, 880
#n, kala, 763
#n, selo, 716
#n, jelo, 695
#n, laso, 676
#n, mu, 606
#n, alasa, 595
#n, oko, 576
#n, unpa, 572
#n, pu, 268
#n, namako, 235
